team_id,event_id,tie_breaker,combined_score,season
66039,46976,14045263,80,154
101856,46976,14045267,80,154
132754,47058,15840355,161,155
132679,47039,15089787,140,154
26689,46087,15047503,180,154
129899,47179,14036611,80,154
115786,47179,14036613,80,154
115813,47179,14036615,60,154
73086,46359,14588647,161,154
38953,47089,15452705,340,154
137463,46503,15058285,36,155
104877,46658,14493547,180,154
110025,47044,14037309,100,154
91456,46585,15823407,290,154
89289,46258,15517297,110,154
62097,47044,14037321,40,154
103145,47044,14037323,20,154
91416,47012,14044345,120,154
52813,47012,14044349,120,154
136858,50968,28611373,136,174
133699,46555,14087047,54,155
98157,47012,14044355,100,154
134643,46925,14039229,80,154
66814,47012,14044359,69,154
83806,46825,16369111,190,154
58716,47012,14044365,60,154
123461,47012,14044369,60,154
136488,45060,15839597,361,154
111945,47382,14144777,181,154
125671,47382,14144779,166,154
98316,45459,20976649,114,155
129898,47179,14036601,120,154
131648,45731,14086107,60,154
67177,46248,15101201,160,154
133461,45982,14488401,17,155
86797,46167,14061565,10,155
108300,46167,14061567,6,155
4116,46060,14086485,424,154
91428,50826,26233617,30,174
115461,45722,14573009,172,154
37801,47012,14044367,60,154
51693,46637,15911377,72,155
63099,46555,14087063,6,155
83174,46555,14087065,6,155
56918,46708,14089733,190,154
92020,47510,16401401,120,154
18934,46708,14089747,23,154
56879,45731,14086083,242,154
136810,45060,15839603,286,154
134113,46260,15518235,130,154
117208,46585,15823425,180,154
115289,46691,15115355,120,154
137739,47510,16401405,120,154
125444,46248,15101207,120,154
133459,47174,14010845,15,155
114835,46946,13923955,17,155
133702,46060,14086533,140,154
128859,46060,14086537,120,154
131045,47039,15089789,140,154
137645,47510,16401407,120,154
119695,46060,14086547,100,154
84546,46691,15115373,60,154
130968,46585,15823429,120,154
134617,47510,16401409,109,154
131047,47039,15089791,100,154
133460,45982,14488413,11,155
135242,44911,14536093,100,154
96986,47461,14528553,120,154
129903,47012,14044351,100,154
131046,46780,14075619,80,154
93950,47012,14044353,100,154
123737,47039,15089785,160,154
56337,47056,16368813,174,155
133866,45975,15901537,368,154
110893,45434,17404279,140,154
136859,50914,24605087,106,174
75429,47120,13979553,26,155
137879,47510,16401413,100,154
134091,45037,14484947,130,154
126518,47421,15138733,5,155
108761,46819,15845011,200,154
132915,46888,15843773,240,154
98115,44576,13619999,100,154
113047,47398,15840525,220,154
130906,45771,14087583,130,154
116458,47120,13979573,8,155
116459,47120,13979575,7,155
137956,47510,16401415,83,154
102303,47356,15820881,18,155
124166,47416,14540613,200,154
137651,45516,16360951,50,155
137420,46028,15833707,73,155
136225,47544,15483329,24,155
132532,45060,15839621,220,154
105676,47424,15138735,40,155
126426,47545,15483393,240,154
91231,47545,15483387,260,154
136863,50968,28611371,160,174
131001,50011,27619885,822,173
59655,47097,15844023,280,154
103461,47545,15483395,220,154
99381,47419,14638799,140,154
137514,47422,15138699,220,154
121826,47097,15844027,220,154
124284,47545,15483399,202,154
135157,47414,14144477,28,155
137066,46685,15821501,27,155
79348,44995,14521935,266,154
90373,47313,14029981,320,154
91228,47545,15483403,180,154
136103,47422,15138719,140,154
137416,47290,14023743,21,155
136104,47425,15138759,110,154
114601,46286,15037929,447,154
112643,45975,15901617,200,154
27949,46087,15047557,120,154
86268,47416,14540607,203,154
137906,47510,16401411,100,154
117144,46685,15821503,25,155
115613,47290,14023747,18,155
136734,45455,22424301,47,155
85370,47290,14023751,14,155
104537,47290,14023753,13,155
137415,47290,14023755,13,155
125438,47290,14023757,12,155
136805,46746,13172889,8,155
107158,47314,14588539,300,154
113055,46433,15054293,250,154
91232,47545,15483407,170,154
131965,46087,15047559,120,154
124285,47421,15138731,15,155
137064,46685,15821505,23,155
